Image,Time Processed,Hemostasis,Inflammation,Proliferation/Maturation
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-15.jpg,14/12/2022 11:42:13,0.007435,0.042284362,0.9502806
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-23.jpg,14/12/2022 11:42:14,0.013690974,0.07548089,0.9108282
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-31.jpg,14/12/2022 11:42:14,0.013972516,0.072578974,0.9134485
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-38.jpg,14/12/2022 11:42:14,0.014598611,0.07583907,0.90956235
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-46.jpg,14/12/2022 11:42:15,0.013872443,0.07590538,0.91022223
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-00-53.jpg,14/12/2022 11:42:15,0.014842692,0.08144284,0.90371454
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-01-01.jpg,14/12/2022 11:42:15,0.013305637,0.078179315,0.9085151
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-01-08.jpg,14/12/2022 11:42:16,0.015727105,0.08918162,0.89509135
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-01-16.jpg,14/12/2022 11:42:16,0.011638985,0.07072322,0.9176378
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-01-24.jpg,14/12/2022 11:42:16,0.010879262,0.063042335,0.9260784
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-00\2022-11-11-13-01-32.jpg,14/12/2022 11:42:17,0.008535737,0.053329162,0.9381351
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-08-24.jpg,14/12/2022 11:42:17,0.022150613,0.050719894,0.92712957
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-08-32.jpg,14/12/2022 11:42:17,0.023896098,0.053194005,0.9229099
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-08-40.jpg,14/12/2022 11:42:18,0.025222197,0.056058336,0.9187195
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-08-47.jpg,14/12/2022 11:42:18,0.025275882,0.060012728,0.9147114
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-08-55.jpg,14/12/2022 11:42:18,0.024378993,0.061968945,0.91365206
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-09-02.jpg,14/12/2022 11:42:19,0.025835177,0.0683503,0.9058144
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-09-10.jpg,14/12/2022 11:42:19,0.02160842,0.061392438,0.9169992
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-09-18.jpg,14/12/2022 11:42:20,0.019455282,0.05488237,0.9256624
C:\Users\labuser\Desktop/Porcine_Exp_Davis\Exp_5\Pi_1\Wound_1\2022-11-11-13-08\2022-11-11-13-09-25.jpg,14/12/2022 11:42:20,0.016041866,0.046144918,0.9378132
